Year,Quarter_Number,Gender,Unemployment_Rate
2016,2,0,5.4
2016,2,1,33.7
2016,3,0,5.7
2016,3,1,34.5
2016,4,0,5.9
2016,4,1,34.5
2017,1,0,7.2
2017,1,1,33.0
2017,2,0,7.4
2017,2,1,33.1
2017,3,0,7.4
2017,3,1,32.7
2017,4,0,7.5
2017,4,1,31.0
2018,1,0,7.6
2018,1,1,30.9
2018,2,0,7.6
2018,2,1,31.1
2018,3,0,7.5
2018,3,1,30.9
2018,4,0,6.6
2018,4,1,32.5
2019,1,0,6.6
2019,1,1,31.7
2019,2,0,6.0
2019,2,1,31.1
2019,3,0,5.8
2019,3,1,30.8
2019,4,0,4.9
2019,4,1,30.8
2020,1,0,5.6
2020,1,1,28.2
2020,2,0,8.1
2020,2,1,31.4
2020,3,0,7.9
2020,3,1,30.2
2020,4,0,7.1
2020,4,1,24.4
2021,1,0,7.437090046118541
2021,1,1,21.72038921951139
2021,2,0,6.385265765690932
2021,2,1,22.67109577023739
2021,3,0,6.205497231795751
2021,3,1,22.15595436852657
2021,4,0,5.365803427100799
2021,4,1,22.93577502900945
2022,1,0,5.164822544913315
2022,1,1,20.31631453815182
2022,2,0,4.920341264692857
2022,2,1,19.46925888214875
2022,3,0,4.385567507963496
2022,3,1,20.66165544040992
2022,4,0,4.3130653175741
2022,4,1,15.67537616778923
2023,1,0,4.6711721422173
2023,1,1,16.33443509017089
2023,2,0,4.629089855187579
2023,2,1,15.89190054011111
2023,3,0,4.727891325414683
2023,3,1,16.56695619610706
2023,4,0,4.599755372464013
2023,4,1,13.90674810286544
2024,1,0,4.213429540211804
2024,1,1,14.16524427098011
2024,2,0,3.98734074230763
2024,2,1,12.83935954464476
2024,3,0,4.656514397887792
2024,3,1,13.56264994652308
2024,4,0,4.327787081534465
2024,4,1,11.85409485310426
2025,1,0,3.995933640869784
2025,1,1,10.53527894651563
2025,2,0,4.32486619761784
2025,2,1,11.294552423253112
2025,3,0,5.04536440733403
2025,3,1,12.07221049760087
